country,scenario,final_inclusion,final_gini,resilience,final_entropy
Bangladesh,baseline,1.0,-0.27031641015293806,1.0,8.19172061714018
Bangladesh,classical,1.0,-0.1985068021469837,1.0,8.208429501646995
Bangladesh,quantum_policy,1.0,0.5,1.0,0.0
Bangladesh,shock,1.0,-0.25551223951886065,1.0,8.197989545146337
Egypt,baseline,1.0,-0.40379303481853024,1.0,7.774031349237765
Egypt,classical,1.0,-0.31077120772686684,1.0,7.8088236657628585
Egypt,quantum_policy,1.0,0.5,1.0,0.0
Egypt,shock,1.0,-0.3823306682024767,1.0,7.790664260551414
Gambia,baseline,1.0,-0.30350262571017195,1.0,8.501919596544766
Gambia,classical,1.0,-0.2240864805572745,1.0,8.522390726882458
Gambia,quantum_policy,1.0,-0.6208730335837144,1.0,8.361415799461502
Gambia,shock,1.0,-0.28519857609020133,1.0,8.510415811129864
India,baseline,1.0,-0.2760630916187792,1.0,7.929404486222742
India,classical,1.0,-0.2044157511254824,1.0,7.945348328829006
India,quantum_policy,1.0,0.5,1.0,0.0
India,shock,1.0,-0.25614158139492427,1.0,7.938910372313894
Indonesia,baseline,1.0,-0.4688802744889317,1.0,8.30712802630971
Indonesia,classical,1.0,-0.36166856397255326,1.0,8.354269936908405
Indonesia,quantum_policy,1.0,0.5,1.0,0.0
Indonesia,shock,1.0,-0.4463936425028011,1.0,8.327541950187769
Kenya,baseline,1.0,-0.4601279609815417,1.0,8.626275756948644
Kenya,classical,1.0,-0.35564685661527057,1.0,8.666309269066133
Kenya,quantum_policy,1.0,0.5,1.0,0.0
Kenya,shock,1.0,-0.4367574361055116,1.0,8.647032719135977
Nigeria,baseline,1.0,-0.36211485728031856,1.0,8.081029255969352
Nigeria,classical,1.0,-0.2708967628564689,1.0,8.106315317812067
Nigeria,quantum_policy,1.0,0.5,1.0,0.0
Nigeria,shock,1.0,-0.3381770878603544,1.0,8.09061495672035
Pakistan,baseline,1.0,-0.2403848790642352,1.0,7.587376388962122
Pakistan,classical,1.0,-0.17403519759881297,1.0,7.598841493299427
Pakistan,quantum_policy,1.0,0.5,1.0,0.0
Pakistan,shock,1.0,-0.2229687091260121,1.0,7.592617854138398
Sri Lanka,baseline,1.0,-0.5024377120138899,1.0,8.221307203982324
Sri Lanka,classical,1.0,-0.3952865161562,1.0,8.27288697545759
Sri Lanka,quantum_policy,1.0,0.5,1.0,0.0
Sri Lanka,shock,1.0,-0.48734645353541267,1.0,8.246045758386918
